2020-09-08 00:56:15 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:99) - Test Case validateClassificationPageElementsviaAgentPortalForGL started on 1599540975465
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:89) - URI: https://t4agency.wrg-ins.com/portal/html/#!/home/
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:175) - false
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:192) - running on browser firefox
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:194) - firefox
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.WebDriverCapabilities.getDesiredCapabilities(WebDriverCapabilities.java:95) - operating systemmac
2020-09-08 00:56:25 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:204) - starting gecko driver on local
2020-09-08 00:57:28 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:99) - Test validateClassificationPageElementsviaAgentPortalForGL1
2020-09-08 00:57:28 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:99) - Test Case validateOptionalCoveragePageElementsviaAgentPortalForGL started on 1599541048536
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:89) - URI: https://t4agency.wrg-ins.com/portal/html/#!/home/
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:175) - false
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:192) - running on browser firefox
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:194) - firefox
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.WebDriverCapabilities.getDesiredCapabilities(WebDriverCapabilities.java:95) - operating systemmac
2020-09-08 00:57:38 INFO  com.wrg.abstestbase.AbstractTest.getDriver(AbstractTest.java:204) - starting gecko driver on local
2020-09-08 00:58:54 INFO  com.wrg.abstestbase.AbstractTestBase.reportLog(AbstractTestBase.java:99) - Test validateOptionalCoveragePageElementsviaAgentPortalForGL1
2020-09-08 00:58:54 INFO  com.wrg.abstest.SuiteListener.onExecutionFinish(SuiteListener.java:82) - end time for logs ->2020-09-08 10:28
